title,artist,lyrics,genre,year,source,url,scraped_at
Taht Kurmuşsun KalbimeEsengül,Unknown,"Şarkı Sözleri
Sanatçılar
Esengül
Taht Kurmuşsun Kalbime
Taht Kurmuşsun Kalbime
Esengül
Şarkı Sözleri
İzle ve Dinle
BIRAKAMAM SENI BEN
YANIMDAN GIDEMEZSIN
SEVIYORSAN BENIMLE
OTURUP IÇECEKSIN
UZAKLARDA ARAMAM ÇÜNKÜ SEN IÇIMDESIN
TAHT KURMUSSUN KALBIME EN GÜZEL YERINDESIN
HER AN SENI CANIMDA RUHUMDA DUYUYORUM
ASKINLA SARHOSUM BEN ÇILGINCA SEVIYORUM
ARTIK ANMAM ISTEMEM
AYRILIGIN ADINI
SENINLE ALABILDIM
MUTLULUGUN TADINI
UZAKLARDA ARAMAM ÇÜNKÜ SEN IÇIMDESIN
TAHT KURMUSSUN KALBİME EN GÜZEL YERINDESIN
AYRILIGIN YÜKÜNÜ KALDIRIP TASIYAMAM
DÜNYALARI VERSELER BEN SENSİZ YASAYAMAM
Burada yer alan videolar YouTube üzerinden anlık olarak alınmaktadır. YouTube üzerinden kaldırıldığında buradan da otomatik olarak kaldırılacaktır. Özel olarak kaldırılmasını istediğiniz içerik varsa bize
[email protected]
adresinden ulaşabilirsiniz.
Videoları Göster
Diğer Şarkıları
Azap Çemberinde Bir Gül
Bir Yoksula Rastladım
Çok Geç Olmadan
Gizli Yara
Uzadı Geceler",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sarki/35519/taht-kurmussun-kalbime,2025-10-25T20:33:23.881355
Esengül,Unknown,"Şarkı Sözleri
Sanatçılar
Esengül
Esengül
Tweet
Azap Çemberinde Bir Gül
Bir Yoksula Rastladım
Çok Geç Olmadan
Gizli Yara
Taht Kurmuşsun Kalbime
Uzadı Geceler",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sanatci/684/esengul,2025-10-25T20:33:24.290097
Canibus,Unknown,"Şarkı Sözleri
Sanatçılar
Canibus
Canibus
Tweet
Draft Me
Gone Till November
Gotta Get That Doe
How We Roll
Indestructible
Life Liquid
Make A Name For Ourselves
Mic Club Intro
Patriots
R U Lyrically Fit?
Reebok Commercial Part 1
Some Shit",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sanatci/4125/canibus,2025-10-25T20:33:35.428697
Breathing SlowlyCrossfade,Unknown,"Şarkı Sözleri
Sanatçılar
Crossfade
Breathing Slowly
Breathing Slowly
Crossfade
Şarkı Sözleri
İzle ve Dinle
Who am I to save you to try and tame you
and now that you are free of me
but next time when you break down
is it me you
Burada yer alan videolar YouTube üzerinden anlık olarak alınmaktadır. YouTube üzerinden kaldırıldığında buradan da otomatik olarak kaldırılacaktır. Özel olarak kaldırılmasını istediğiniz içerik varsa bize
[email protected]
adresinden ulaşabilirsiniz.
Videoları Göster
Diğer Şarkıları
Colors
Disco",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sarki/47318/breathing-slowly,2025-10-25T20:33:36.464712
Spring RainMoonlight Awakening,Unknown,"Şarkı Sözleri
Sanatçılar
Moonlight Awakening
Spring Rain
Spring Rain
Moonlight Awakening
Şarkı Sözleri
İzle ve Dinle
[Vlastyn]
Words I've felt, things I've known
All the while nothing has grown
And you have touched, you have sworn
To all the things now all forlorn
Do I dare, will I try
Will I break you from this lie?
Like innocence upon a stage
Run right out, left us enraged
I wonder why his suicide
Killed so many, made them lie
For their right to persist
In their speech of unfelt bliss
Thing I've seen, things I've killed
All the tears, the clear blood spilled
I question you, question me
But my own truth you do not need
Will I die, will I die?
Oh god please, please tell me why
Tell me now, tell me now
And all about the world somehow
I'll take a breath in the stars
And let you know just how far
How I wish to know so soon
How I wish this might be true
Burada yer alan videolar YouTube üzerinden anlık olarak alınmaktadır. YouTube üzerinden kaldırıldığında buradan da otomatik olarak kaldırılacaktır. Özel olarak kaldırılmasını istediğiniz içerik varsa bize
[email protected]
adresinden ulaşabilirsiniz.
Videoları Göster
Diğer Şarkıları
Apart From Me
Innocent
Vertigo",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sarki/90949/spring-rain,2025-10-25T20:33:44.585408
Say ManBo Diddley,Unknown,"Şarkı Sözleri
Sanatçılar
Bo Diddley
Say Man
Say Man
Bo Diddley
Şarkı Sözleri
İzle ve Dinle
(Ellas McDaniel) 1959
(Alternate lines spoken by BO DIDDLEY and Jerome Green):
Say man,
What's that boy?
I want to tell you 'bout your girlfriend,
What about my girl?
Well, you don't look strong enough to take the message,
I'm strong enough,
I might hurt your feelings,
My feelings are already hurt by being here with you,
Well, I was walking down the street with your girl the other day,
Ah-ha,
And the wind was blowin' real hard,
Is that right?
And the wind blew her hair into my face,
Ah-ha,
You know what else happened?
What happened?
The wind blew her hair into her face,
Yeh?
And we went a little further; you wanna hear the rest of it?
I might as well,
The wind blew her hair into the street!
Hey; since you told me about my girl, I'm gonna tell you about yours. I was walking down the street with your girl,
Yes?
I took her home, for a drink, you know,
Took her home?
Yeh, jus' for a drink,
Oh,
But that chick looked so ugly, she had to sneak up on the glass to get a drink of water!
You've got the nerve to call somebody ugly; why you so ugly the stork that brought you in the world oughta be arrested!
That's alright; my momma didn't have to put a sheet on my head so sleep could slip up on me!
Look-a here!
What's that?
Where are you from?
South America,
What's that?
South America,
You don't look like no South American to me,
I'm still from South America,
What part?
South Texas!
Where are your workin' boots at?
I've got 'em on,
Those aren't no boots you got on; those broguettes!
Hey, look-a here!
What's that?
I've bin tryin' to figure out what you is,
I already figured out what YOU is!
What's that?
You that thing I throw peanuts at!
Look-a here!
What's that?
You should be ashamed of yourself,
Why?
Calling people ugly,
I didn't call you ugly,
What you say?
I said you was ruined, that's all!
You know somethin'?
What?
You look like you've bin whooped with a ugly-stick!
Hey! I ain't got nothin' to do with it, but I beat the fellah right...!
Burada yer alan videolar YouTube üzerinden anlık olarak alınmaktadır. YouTube üzerinden kaldırıldığında buradan da otomatik olarak kaldırılacaktır. Özel olarak kaldırılmasını istediğiniz içerik varsa bize
[email protected]
adresinden ulaşabilirsiniz.
Videoları Göster
Diğer Şarkıları
Bo Diddley's A Gunslinger
Diddley Daddy
Who Do You Love",rap,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sarki/67794/say-man,2025-10-25T20:33:45.357779
"Freak OutEchoing Green, The",Unknown,"Şarkı Sözleri
Sanatçılar
Echoing Green, The
Freak Out
Freak Out
Echoing Green, The
Şarkı Sözleri
İzle ve Dinle
instrumental
Burada yer alan videolar YouTube üzerinden anlık olarak alınmaktadır. YouTube üzerinden kaldırıldığında buradan da otomatik olarak kaldırılacaktır. Özel olarak kaldırılmasını istediğiniz içerik varsa bize
[email protected]
adresinden ulaşabilirsiniz.
Videoları Göster
Diğer Şarkıları
Ambler
Face of God
Heart With a View
Liberation
Ocean Chorus
Pray
She's Gone Tragic",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sarki/60707/freak-out,2025-10-25T20:33:56.629930
"Echoing Green, The",Unknown,"Şarkı Sözleri
Sanatçılar
Echoing Green, The
Echoing Green, The
Tweet
Ambler
Face of God
Freak Out
Heart With a View
Liberation
Ocean Chorus
Pray
She's Gone Tragic",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sanatci/7471/echoing-green-the,2025-10-25T20:33:56.906556
The War InsideMushroomhead,Unknown,"Şarkı Sözleri
Sanatçılar
Mushroomhead
The War Inside
The War Inside
Mushroomhead
Şarkı Sözleri
İzle ve Dinle
How could such potential go unrealized
The natives speak in tongues and tangled truths while chanting
diatribes
Somewhere deep down in the subconscious wrapped in riddles lies
The meaning of this life we try to find but only lose our minds
Through my blind desperation soul solely rages on
Social defacing here my replacement comes
Rumors of cutbacks harbored hypocrisy
My heart dwells in darkness
My body imprisons me
Breakdown - All the walls have fallen
My soul solely rages on
Storm the palace seize the crown
Soul solely rages
Whispered winds soon sound the calling
My soul solely rages on
Betray your malice heed your vows
On
Victory misery glory defeat
The war inside pushing me
Brings me to bleed
I thank you all for the laughs
Just like the poison in me
Raise a glass for my father then put me to sleep
Breakdown - All the walls have fallen
My soul solely rages on
Storm the palace seize the crown
Soul solely rages
Whispered winds soon sound the calling
My soul solely rages on
Betray your malice heed your vows
On
Erase those saccharine smiles vague in their sincerity
Lift these veiled chains in an endless search for clarity
Barely hanging on to a faith I'd briefly known
I've seen an angels face, the broken wings on which she'd flown
Emotion fades to faceless as we soon become sedate
Is it time to mourn this loss or is it time to celebrate
Through my blind desperation soul solely rages on
Social defacing here my replacement comes
Rumors of cutbacks harbored hypocrisy
My heart dwells in darkness
My body imprisons me
Breakdown - All the walls have fallen
My soul solely rages on
Storm the palace seize the crown
Soul solely rages
Whispered winds soon sound the calling
My soul solely rages on
Betray your malice heed your vows
On and on and on and on
Soul solely rages on
Burada yer alan videolar YouTube üzerinden anlık olarak alınmaktadır. YouTube üzerinden kaldırıldığında buradan da otomatik olarak kaldırılacaktır. Özel olarak kaldırılmasını istediğiniz içerik varsa bize
[email protected]
adresinden ulaşabilirsiniz.
Videoları Göster
Diğer Şarkıları
Becoming Cold (216)
Born Of Desire
Crazy
Eternal
Exploiting Your Weakness
Idle Worship
These Filthy Hands",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sarki/76093/the-war-inside,2025-10-25T20:33:58.794744
Mushroomhead,Unknown,"Şarkı Sözleri
Sanatçılar
Mushroomhead
Mushroomhead
Tweet
Becoming Cold (216)
Born Of Desire
Crazy
Eternal
Exploiting Your Weakness
Idle Worship
The War Inside
These Filthy Hands",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sanatci/6039/mushroomhead,2025-10-25T20:33:59.228982
