song_id,title,artist,lyrics,genre,year,source,scraped_at
1,El mariachi,abc. antonio banderas / los lobos,"\'\r\n\r\n DESPERADO EL MARİACHİ\r\n \r\nSoy un hombre muy honrado,\r\n \r\nQue me gusta lo mejor\r\n\r\nLas mujeres no me faltan,\r\n \r\nNi el dinero, ni el amor\r\n\r\nJineteando en mi caballo\r\n \r\nPor la sierra yo me voy\r\n\r\nLas estrellas y la luna\r\n \r\nEllas me dicen donde voy\r\n\r\nDm\r\nAy, ay, ay, ay)\r\nAm\r\nAy, ay mi amor)\r\nDm 2 kere\r\nAy mi morena,)\r\n \r\nDe mi corazn)\r\n \r\n \r\nMe gusta tocar guitarra \r\n \r\nMe gusta cantar el sol \r\n\r\nMariachi me acompaa \r\n \r\nCuando canto mi cancin \r\n\r\n\r\n\r\n \r\nMe gustan tomar mis copas\r\n \r\nAguardiente es lo mejor\r\n\r\nTambien el tequila blanco\r\n \r\nCon su sal le da sabor\r\n\r\nDm\r\nAy, ay, ay, ay)\r\nAm\r\nAy, ay mi amor)\r\nDm 2 kere\r\nAy mi morena,)\r\n \r\nDe mi corazn)\r\n\r\nMe gusta tocar guitarra)\r\nMe gusta cantar el sol)\r\nMariachi me acompaa ) GİTARIN GÖVDESİNE \r\nCuando canto mi cancin) VURARAK RİTM TUTUN\r\n \r\n \r\nMe gustan tomar mis copas\r\n \r\nAguardiente es lo mejor\r\n\r\nTambien el tequila blanco\r\n \r\nCon su sal le da sabor\r\n\r\nDm\r\nAy, ay, ay, ay\r\nAm\r\nAy, ay mi amor\r\nDm\r\nAy mi morena,\r\n \r\nDe mi corazn\r\n\r\nDm\r\nAy, ay, ay, ay\r\nAm\r\nAy, ay mi amor\r\nDm\r\nAy mi morena, Ritm : aşağı,aşağı,yukarı,aşağı,yukarı\r\n \r\nDe mi corazn\r\n\r\n\r\n\r\n\r\n Bitiş: \r\n\r\n\'",arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.278323
2,Yiğit,Abdulbaki Kömür,\' \r\nSeher vakti gelir hasretin yiğit\r\n \r\nSerçeler duaya durduğu zaman\r\nDm \r\nSızım sızım sızlar yüreğim yiğit\r\n \r\nElalem uykuya daldığı zaman\r\n\r\nO\\\'\\\'ndan dönüş O\\\'\\\'nadır yiğit\r\nRabbının övgüsü sanadır yiğit\r\nAl kanın alnında boyadır yiğit\r\nParlak gün ışığı vurduğu zaman\r\n\r\nHuzura ne güzel varışın yiğit\r\nMümine yakışan yarışın yiğit\r\nDindirir gönlümde kalışın yiğit\r\nAyrılığın hüznü sardığı zaman\r\n\r\nBağrında şehadet lalesi yiğit\r\nYüzünde Bedir\\\'\\\'in halesi Yiğit\r\nBen de seninle gelesi yiğit\r\nSeni vuran mermi vurduğu zaman\',arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.278415
3,ZIR ZIR,Abidin,"\' \r\nDemedim inan herşeyi, tek ümidim sendeydi\r\nAm\r\nBelkide tek arzum son çaremdin\r\nE \r\nBöyle yarıda bırakılmak kaderimmi\r\nF\r\nSende mutlu olamzsın\r\nG\r\nHerşeyi silip atamazsın\r\nF\r\nGün gelir sende bulamazsın\r\nG \r\nMaziye dönüp beni ararsın\r\n\r\nAm\r\nZır zır zır zır ağlayacaksın\r\nE \r\nEteğin tutuşacak çok yancaksın\r\nA\r\nGünahının bedeli ağır olacak\r\nG \r\nPişmanlıktan ölecek kuduracaksın\r\n\'",arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.278484
4,ÇÖPÇÜLER,Abidin,\' \r\nAşktan yana şansım yok ağlıyorum derdim çok\r\n\r\nAm \r\nAşkımı kaybetmişim sordum sordum bulan yok\r\n\r\nAm \r\nDün gece çok ağladım aradım bulamadım)\r\n )\r\n )NAKARAT 2\r\nKör olası çöpçüler aşkımı süpürmüşler)\r\n\r\nC \r\nsokaklarda ne ararsın beni kimden sorarsın\r\n\r\nAm \r\nben düştüm aşk ateşine sende düşme yanarsın\r\n\r\n\r\nNAKARAT...\',arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.278548
5,Neşet ERTAŞ,Acem Kızı,\' \r\n Çırpınıp Da Şanova\\\'\\\'ya Çıkınca\r\n \r\n Eğlen Şanova\\\'\\\'da Kal Acem Kızı\r\n \r\n Uğrun Uğrun Kaş Altından Bakınca\r\n \r\n Can Telef Ediyon Bil Acem Kızı\r\n \r\n Bil Acem Kızı \r\n\r\n \r\n Seni Saran Oğlan Neylesin Malı\r\n \r\n Yumdukça Gözünden Döker Mercanı\r\n \r\n Burnu Fındık Ağzı Kahve Fincanı\r\n \r\n Şeker Mi Şerbet Mi Bal Acem Kızı\r\n \r\n Bal Acem Kızı\',folk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.278615
6,BEBEK v1,ACİL SERVİS,\' \r\nYapayalnız bir yaz olabilirdi \r\nAm \r\nTıpkı bundan öncekiler gibi \r\n \r\nAma bu kez sen vardın kumsalda \r\n\r\nAm \r\nBebek diyordu herkes sana \r\nAm \r\nGerçek ismini kimse bilmezdi \r\n \r\nAma bebek yeterdi anlatmaya \r\n\r\n ) \r\nHey bebek götür beni o temmuz akşamına ) \r\n \r\nSeninle sevişmek istiyorum ) \r\n\r\nAm \r\nSabah yeli gibiydi dudakların \r\nAm \r\nÖperken beni ürpertirdin \r\n \r\nAma artık sen yoksun kumsalda \r\n\r\n ) \r\nHey bebek götür beni o temmuz akşamına ) \r\n \r\nSeninle sevişmek istiyorum ) \r\n \r\n\',arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.278697
7,BEBEK v3,ACİL SERVİS,\'AM EM\r\nyapayalnız bir yaz olabilirdi\r\nAM EM\r\ntıpkı bundan öncekiler gibi\r\n EM AM\r\nama bu kez sen vardın kumsalda\r\nAM EM\r\nbebek diyordu herkes sana\r\nAM EM\r\ngerçek ismini kimse bilmezdi\r\n EM AM\r\nama bebek yeterdi anlatmaya\r\n\r\n AM\r\nheyy bebek götür beni o temmuz akşamına )\r\n EM AM \r\nseninle sevişmek istiyorum )\r\n\r\n AM EM\r\nsabah yeli gibiydi dudakların\r\n AM EM\r\nöperken beni ürpertirdin\r\n EM AM\r\nama artık sen yoksun kumsalda\r\n\r\n-nakarat-\',arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.278776
8,Orda ortada,Adamlar,\'Arpej\r\nKapo 1\r\n\r\ne---------------------------------------------------\r\n----------------------------------------------------\r\n----------------------------------0---------------------------------\r\n--------0-------0-------0-----0/1---------0--------0--------0------0----\r\n----0/1-----0/1-----0/1-----3---------0/1------0/1------0/1------0----\r\nE-3-------3-------3-----------------3--------3--------3--------1------\r\n\r\n\r\n\r\nG#m # \r\nBen sen o bu şu yürüyoruz\r\nG#m # \r\nHer gün anbean dağılarak\r\nG#m #\r\nHükümsüz yönsüz tertemiz\r\nG#m #\r\nGüneşin altında karararak\r\nG#m #\r\nÇiçekler altınlar tabancalar\r\nG#m #\r\nMahallede kaldı çocuklar\r\nG#m #\r\nCamı kırdım top yok başım ayaz\r\nG#m #\r\nKokusu burnumda o eski yaz\r\n\r\nC#m #\r\nVakit dardı çözdüm\r\nG#m #\r\nTrenlerle gittim\r\nC#m # \r\nGözüm kaydı sözümden caydım da\r\nC#m # \r\nBaşı sonu çizdim\r\nG#m #\r\nOrtasından kestim\r\nC#m # \r\nSağım solum karıştı sonunda\r\nG#m #\r\nKaldım ortada\r\nG#m #\r\nOrda ortada\r\nG#m #\r\nOrda ortada\',arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.278934
9,Koca Yaşlı Şişko Dünya v2,Adamlar,\':e|--------------------------------12-12-12-12-12-10------------------| \r\n:|------12--10----------12-12b 10------ ------------12-12-12-12-12-10| \r\n:|--/9------------/9-9---- ------------------------------------------| \r\n:|-------------------------------------------------------------------|\r\n:|------- -----------------------------------------------------------| \r\n:|-------------------------------------------------------------------| \r\n\r\n:e|-------------------------------------------------------------------| \r\n:|-7-8-10-8-10/11-10-8h10p8------------------------------------------| \r\n:|--------------------------9----------------------------------------| \r\n:|-------------------------------------------------------------------| \r\n:|-------------------------------------------------------------------| \r\n:|-------------------------------------------------------------------|\r\n\r\n:e|-------------------------------------------------------------------| \r\n:|------12--10--------8-7----7- -----12-12b-10-----------------------| \r\n:|--/9-------------/9-----9-----/9-9---------------------------------| \r\n:|-------------------------------------------------------------------|\r\n:|------- -----------------------------------------------------------| \r\n:|-------------------------------------------------------------------| \r\n\r\n:e|--12-12-12-12-12-10------------------------------------------------| \r\n:|------------ --------12-12-12-12-12-10-----------------------------| \r\n:|-------------------------------------------------------------------| \r\n:|-------------------------------------------------------------------|\r\n:|------- -----------------------------------------------------------| \r\n:|-------------------------------------------------------------------| \r\n\r\n:e|-------------------------------------------------------------------| \r\n:|-7-8-10-8-10/11-10-8h10p8------------------------------------------| \r\n:|--------------------------9----------------------------------------| \r\n:|-------------------------------------------------------------------| \r\n:|-------------------------------------------------------------------| \r\n:|-------------------------------------------------------------------|\r\n\r\n:e|-------------------------------------------------------------------| \r\n:|-7-8-10-8-10/11-10-8h10p8------------------------------------------| \r\n:|--------------------------9----------------------------------------| \r\n:|-------------------------------------------------------------------| \r\n:|-------------------------------------------------------------------| \r\n:|-------------------------------------------------------------------|\r\n\',arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.279116
10,Koca Yaşlı Şişko Dünya,Adamlar,"\' 1. Kısım\r\nE -----------------12-12-12-12-12-10---------------------------------------\r\nB--12-10---12-12-10------------------12-12-12-12-12-10-7-8-10-8-11-10-8-7-5\r\nG9------9-9----------------------------------------------------------------\r\n \r\n---\r\n 2. Kısım\r\nE-----------------12-12-12-12-12-10------------------\r\nB--12-10-7-8-7----------------------12-12-12-12-12-10\r\nG9-------------9-7-----------------------------------\r\n 3. Kısım\r\nB7-8-10-8-11-10-8-7-5-7-8-10-8-11-10-8-7-5\r\n\r\nArkadaşlar iyi günler nakarata kadar olan yani koca yaşlı şişko dünya dan\r\ngel anlaşalım senle ver gözümün ferini geri kısmına kadar yazıcağım tüm akorlar\r\nbareli ve nasıl basıcağınızıda en aşşağıya yazıcağım, kolay gelsin umarım ya\r\nyararım dokunur\r\n\r\nAkorlar:\r\n \r\nYükünü bırak, yamacıma çömel\r\n \r\nÜstün başın yara bere, gülüşün özel\r\n \r\n Biz bizi iyi biliriz\r\n \r\n Aynı yolda eskimişiz\r\n Emx2\r\n Suretimiz benzer\r\n \r\nKiminin babası padişah, sorunu çözer\r\n \r\n Kiminin babası fotoğraftan gülümser\r\n Emx2\r\n Kimi gider uzaya, öbürü bi\\\' odada müebbet komada\r\n \r\nHer sabah yeni bi\\\' filme başladım\r\n \r\n Farklı sonlar istesem de hep aynı finalle bitti\r\n \r\n Sonra birden dank etti, dünyayı anladım\r\n Emx2\r\n Aldım onu karşıma anlatmaya başladım\r\n Emx2\r\nKoca yaşlı şişko dünya x2\r\n Emx2 \r\nBen dağıttım evini sen erittin beynimi\r\n Emx2\r\n Gel anlaşalım senle ver gözümün ferini geri x2\r\n \r\nAçtım bazen ağzımı çöp kutusu kapağı\r\n \r\n Sevdim, kızdım, delirdim\r\n \r\n Dikkatsizler piriydim\r\n \r\n Işıkları kapadım, sabaha geri saydım\r\n Emx2\r\n İnceden aydım\r\n \r\nİpte laf cambazları, cebinde cımbızları\r\n \r\n Ne söylesek varmıyor doğru adrese\r\n \r\n Onunkinden banane, on ikiden vurmak şart değil\r\n Emx2\r\n Yeteriz biz bize\r\n \r\nHer sabah yeni bi\\\' filme başladım\r\n \r\n Farklı sonlar istesem de hep aynı finalle bitti\r\n \r\n Sonra birden dank etti dünyayı anladım\r\n Emx2\r\n Aldım onu karşıma anlatmaya başladım\r\n Emx2\r\nKoca yaşlı şişko dünya x2\r\n Emx2\r\nBen dağıttım evini sen erittin beynimi\r\n Emx2\r\nGel anlaşalım senle ver gözümün ferini geri x3\r\n\r\nEm: : : : :\r\n\r\nE-x -5 -10 -8 -7\r\nB-7 -7 -12 -10 -9\r\nG-9 -7 -12 -10 -9\r\nD-9 -5 -11 -9 -8\r\nA-8 -5 -10 -8 -7\r\nE-7 -5 -10 -8 -7\r\n\r\nNot:\r\nBm akorunu çalmasanız da olur. akorunda ben 7. perdenin 3. teline basmıyorum.\r\nUmarım becermişimdir. \r\n Çağdaş Yenilmez\'",arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.279381
